"Estimate"		"Jako u¿ytkownik:"	
1	"    "	"Chcia³bym uruchomiæ aplikacje"	"Stworzyæ uruchamialna aplikacje na androida"
5	"    "	"Chcia³bym zobaczyæ kolorowe menu z przyciskami(New game,sounds,highscores,about,exit buttons)."	"zaimplementowaæ interfejs graficzny z przyciskami, przy kliknieciu na dane pole(New game,sounds,highscores,about,exit), wykona siê dana funkcja"
1	"    "	"Chcia³bym w³¹czaæ/wy³aczaæ efekty dŸwiêkowe w menu"	"opcja wy³¹czaj¹ca/w³¹czaj¹ca efekty dŸwiêkowe"
1	"    "	"Chcia³bym w³¹czaæ/wy³aczaæ muzykê w menu"	"opcja wy³¹czaj¹ca/w³¹czaj¹ca muzykê."
1	"    "	"Chcia³bym móc wy³aczyæ aplikacjê za pomoc¹ przycisku ""exit"""	"wy³¹czanie aplikacji za pomoc¹ przycisku, mo¿na tak¿e za pomoc¹ home button i back button."
1	"    "	"Chcia³bym sprawdziæ informacje o aktualnej wersji aplikacji po naciœnieciu przycisku ""about"""	"wyœwietla informacje o autorze i wersji aplikacji"
1	"    "	"Chcia³bym ustawiæ jak du¿o kart bedzie na stole"	"mo¿liwoœæ podania niestandardowych iloœci kart lub wybrania domyœlnych ustawieñ(easy,medium,hard)"
2	"    "	"Chcia³bym sprawdziæ tabele najlepszych wyników dla danego poziomu trudnoœci."	"mo¿liwoœæ sprawdzenia statystyk z poprzednich rozgrywek"
1	"    "	"Chcia³bym rozpoczynaæ rozgrywkê naciskaj¹c przycisk ""New game"""	"mo¿liwoœæ rozpoczêcie nowej rozgrywki, "
5	"    "	"Chcia³bym zobaczyæ graficzne roz³o¿enie ""kart memory"" na ekranie."	"stworzenie graficznego roz³o¿enia kart na stole w formie prostok¹ta (x*y=2k), zaimportowaæ do projektu seriê unikalnych obrazów kart, które bêd¹ wyœwietlane."
2	"    "	"Chcia³bym mieæ mo¿liwoœæ wybrania dowolnych dwóch kart ze sto³u"	"mozliwoœæ klikniecia na kartê, którego wynikiem bedzie jej ods³oniecie, brak mozliwosci interakcji z ta kart¹ jeœli jest ods³oniêta."
1	"    "	"Chcia³bym zobaczyæ moj¹ wybran¹ parê kart."	"mo¿liwoœæ klikniecia na druga kartê, ktorego wynikiem jest jej ods³oniêcie. Nastêpuje tu porównanie tych dwóch kart, jeœli s¹ identyczne bêd¹ ju¿ ods³oniete do koñca rozgrywki, w przeciwnym wypadku zostaj¹ one z powrotem zakryte."
2	"    "	"Chcia³bym s³yszeæ efekty dŸwiêkowe podczas moich akcji."	"implementacja efektów dŸwiêkowych w ró¿nych momentach gry( ods³oniêciu kart,gdy karty sa takie same,po ukoñczeniu rozgrywki...)"
0	"    "	"Chcia³bym aby wybrana para dwóch identycznych kart pozosta³a na stole odkryta."	"pol¹czone z 12 i 13."
2	"    "	"Chcia³bym zatrzymaæ gre wciskaj¹c przycisk ""back"" oraz mieæ mo¿liwoœæ jej wznowienia."	"uruchomienie main menu za pomoc¹ ""back button"", gra zostaje zatrzymana, nowa mo¿liwoœæ w menu ""resume game"", która wznawia poprzedni¹ gre"
1	"    "	"Chcia³bym wiedzieæ jaki aktualnie przeznaczy³em czas na gre."	"timer widoczny w trakcie gry."
1	"    "	"Chcialbym po zakonczeniu gry zobaczyæ gratulacje i informacje ukoñczonej rozgrywce."	"po ods³oniêciu wszystkich kart, zostaje wyœwietlony ekran ze statystykami z gry - takimi jak czas gry, liczba pope³nionych b³êdów, ... ."
1	"    "	"Chcia³bym zostaæ przeniesiony do menu g³ównego po ukoñczonej grze"	"powrót do menu g³ównego po zakoñczeniu gry."
3	"    "	"Chcia³bym aby aplikacja dzia³a³a stabilnie, p³ynnie, intuicyjnie."	"Poprawki graficzne, dopracowanie efektów, optymalizacja."
1	"    "	"Chcia³bym aby aplikacja dzia³a³a poprawnie na ró¿nych urz¹dzeniach z ró¿nym ekranem"	"mo¿liwoœæ uruchomienia aplikacji i poprawne dzia³anie na ró¿nych urz¹dzeniach."
0		"Chcia³bym s³yszeæ muzykê w trakcie gry"	"po³¹czone z 14"
